country,cumulative_co2_including_luc,co2_cumulative_percentage,co2_cumulative_top_90
United States,549594.312,21.03751443806238,21.03751443806238
China,310281.781,11.877046951052158,32.91456138911454
Russia,224101.656,8.578221645957807,41.49278303507235
Brazil,131187.0,5.021610206522824,46.51439324159517
India,96556.617,3.6960193726094444,50.210412614204614
Germany,92966.852,3.5586094115384665,53.769022025743084
Indonesia,92152.258,3.527428169917176,57.296450195660256
United Kingdom,78147.078,2.9913342365839237,60.28778443224418
Canada,74523.414,2.8526266807482896,63.14041111299247
Japan,71995.75,2.7558720988075462,65.89628321180001
Ukraine,44234.664,1.6932260073369139,67.58950921913693
Mexico,35352.578,1.3532352025101133,68.94274442164703
France,34385.199,1.3162056168043967,70.25895003845143
Australia,32646.391,1.2496470706071092,71.50859710905854
South Africa,28402.09,1.0871826097904504,72.59577971884899
Poland,27321.729,1.0458282696170398,73.64160798846602
Italy,24664.91,0.944129858895827,74.58573784736184
Democratic Republic of Congo,23589.953,0.9029823744440661,75.4887202218059
Thailand,23386.412,0.8951911789517852,76.3839114007577
Argentina,21486.461,0.8224643589658625,77.20637575972356
Iran,20620.93,0.7893333375715024,77.99570909729506
Colombia,20052.658,0.767580873720045,78.76328997101511
Malaysia,19710.627,0.7544885218822318,79.51777849289735
South Korea,18920.24,0.7242338821214098,80.24201237501876
Kazakhstan,18067.738,0.6916015881877036,80.93361396320647
Turkey,17288.559,0.6617759711745221,81.59538993438099
Spain,17224.188,0.6593119612451533,82.25470189562614
Saudi Arabia,17131.57,0.65576670528147,82.9104686009076
Nigeria,14988.923,0.5737499044995671,83.48421850540717
Philippines,14372.093,0.5501387248576096,84.03435723026477
Vietnam,13895.467,0.5318943105002865,84.56625154076507
Netherlands,12923.275,0.49468049152508436,85.06093203229015
Cote d'Ivoire,12914.504,0.4943447528991427,85.55527678518929
Belgium,12881.913,0.49309722609968254,86.04837401128897
Venezuela,12480.31,0.47772456170633415,86.52609857299531
Czechia,11804.864,0.4518696635262171,86.97796823652152
Romania,11722.749,0.4487264441362728,87.42669468065779
Belarus,9999.278,0.38275497162568795,87.80944965228348
Sweden,8440.214,0.32307671314716263,88.13252636543064
Tanzania,7623.678,0.2918211351432955,88.42434750057393
Pakistan,7395.942,0.28310379712967615,88.7074512977036
Peru,7098.368,0.2717131819346048,88.9791644796382
Egypt,7028.602,0.26904266078793426,89.24820714042613
Chile,6879.753,0.2633449799382257,89.51155212036436
Uzbekistan,6767.386,0.2590437666009564,89.77059588696531
